tKr,tKr1,yKr,yKr1
642.43,642.43,0.99844,99.862
643.43,643.43,0.99849,99.867
644.43,644.43,0.99854,99.872
645.43,645.43,0.99859,99.877
646.43,646.43,0.99864,99.881
647.43,647.43,0.99869,99.886
648.43,648.43,0.99873,99.891
649.43,649.43,0.99878,99.896
650.43,650.43,0.99883,99.9
651.43,651.43,0.99887,99.905
652.43,652.43,0.99892,99.909
653.44,653.44,0.99896,99.914
654.44,654.44,0.999,99.918
655.44,655.44,0.99905,99.922
656.44,656.44,0.99909,99.927
657.44,657.44,0.99913,99.931
658.44,658.44,0.99917,99.935
659.44,659.44,0.99921,99.939
660.44,660.44,0.99925,99.943
661.44,661.44,0.99929,99.947
662.44,662.44,0.99933,99.951
663.44,663.44,0.99937,99.955
664.44,664.44,0.99941,99.959
665.44,665.44,0.99945,99.962
666.44,666.44,0.99948,99.966
667.44,667.44,0.99952,99.97
668.45,668.45,0.99955,99.973
669.45,669.45,0.99959,99.977
670.45,670.45,0.99962,99.98
671.45,671.45,0.99966,99.983
672.45,672.45,0.99969,99.987
673.45,673.45,0.99972,99.99
674.45,674.45,0.99975,99.993
675.45,675.45,0.99979,99.996
676.45,676.45,0.99982,99.999
677.45,677.45,0.99985,100
678.45,678.45,0.99988,100.01
679.45,679.45,0.99991,100.01
680.45,680.45,0.99993,100.01
681.45,681.45,0.99996,100.01
682.45,682.45,0.99999,100.02
683.46,683.46,1,100.02
684.46,684.46,1,100.02
685.46,685.46,1.0001,100.02
686.46,686.46,1.0001,100.03
687.46,687.46,1.0001,100.03
688.46,688.46,1.0001,100.03
689.46,689.46,1.0002,100.03
690.46,690.46,1.0002,100.04
691.46,691.46,1.0002,100.04
692.46,692.46,1.0002,100.04
693.46,693.46,1.0003,100.04
694.46,694.46,1.0003,100.05
695.46,695.46,1.0003,100.05
696.46,696.46,1.0003,100.05
697.46,697.46,1.0003,100.05
698.47,698.47,1.0004,100.05
699.47,699.47,1.0004,100.06
700.47,700.47,1.0004,100.06
701.47,701.47,1.0004,100.06
702.47,702.47,1.0004,100.06
703.47,703.47,1.0004,100.06
704.47,704.47,1.0005,100.06
705.47,705.47,1.0005,100.07
706.47,706.47,1.0005,100.07
707.47,707.47,1.0005,100.07
708.47,708.47,1.0005,100.07
709.47,709.47,1.0005,100.07
710.47,710.47,1.0006,100.07
711.47,711.47,1.0006,100.07
712.47,712.47,1.0006,100.08
713.48,713.48,1.0006,100.08
714.48,714.48,1.0006,100.08
715.48,715.48,1.0006,100.08
716.48,716.48,1.0006,100.08
717.48,717.48,1.0006,100.08
718.48,718.48,1.0007,100.08
719.48,719.48,1.0007,100.08
720.48,720.48,1.0007,100.08
721.48,721.48,1.0007,100.09
722.48,722.48,1.0007,100.09
723.48,723.48,1.0007,100.09
724.48,724.48,1.0007,100.09
725.48,725.48,1.0007,100.09
726.48,726.48,1.0007,100.09
727.48,727.48,1.0007,100.09
728.49,728.49,1.0007,100.09
729.49,729.49,1.0007,100.09
730.49,730.49,1.0007,100.09
731.49,731.49,1.0008,100.09
732.49,732.49,1.0008,100.09
733.49,733.49,1.0008,100.09
734.49,734.49,1.0008,100.09
735.49,735.49,1.0008,100.1
736.49,736.49,1.0008,100.1
737.49,737.49,1.0008,100.1
